,mean,std
roc_auc,0.493433709809258,0.043502070950885874
balanced_accuracy,0.5007806859692036,0.035938612798714416
average_precision,0.3529026686992882,0.03535822113984916
f1_score,0.2980396801091219,0.1662891104415039
