fit_time,score_time,test_roc_auc,test_balanced_accuracy,test_average_precision,test_f1_score,best_params
236.96367192268372,0.022515535354614258,0.6389448616962814,0.6351895951639495,0.45837954146982607,0.5547445255474452,"{'classifier__C': np.float64(1.0797151434089138), 'classifier__gamma': np.float64(0.0011669012872620147), 'classifier__kernel': 'rbf', 'feature_selection__n_components': np.float64(0.6451478439073702), 'oversampling__k_neighbors': 3}"
243.20253252983093,0.02120685577392578,0.546437076387617,0.5664956951822678,0.43425376739781796,0.42990654205607476,"{'classifier__C': np.float64(570551.6122343824), 'classifier__gamma': np.float64(1.0049992305700095), 'classifier__kernel': 'rbf', 'feature_selection__n_components': np.float64(0.5184803825455441), 'oversampling__k_neighbors': 5}"
235.06205916404724,0.021707534790039062,0.5365451547902547,0.5337973987909873,0.38359041741050104,0.47368421052631576,"{'classifier__C': np.float64(275508.2946001167), 'classifier__gamma': np.float64(3.111092443145132e-05), 'classifier__kernel': 'rbf', 'feature_selection__n_components': np.float64(0.5940134229269121), 'oversampling__k_neighbors': 4}"
219.86804342269897,0.025038719177246094,0.5344987051424344,0.5,0.3408700122209948,0.0,"{'classifier__C': np.float64(2544.0224315041837), 'classifier__gamma': np.float64(1.4012409951405813), 'classifier__kernel': 'rbf', 'feature_selection__n_components': np.float64(0.5940822293319712), 'oversampling__k_neighbors': 4}"
224.17248249053955,0.02508854866027832,0.5246022937476876,0.5163706992230854,0.35927180532781344,0.38596491228070173,"{'classifier__C': np.float64(1823.4889604457594), 'classifier__gamma': np.float64(0.0950955562980528), 'classifier__kernel': 'rbf', 'feature_selection__n_components': np.float64(0.5421536455226417), 'oversampling__k_neighbors': 5}"
235.87039399147034,0.022136926651000977,0.524047354790973,0.5047169811320755,0.392993496947567,0.4122137404580153,"{'classifier__C': np.float64(21.841779839273965), 'classifier__gamma': np.float64(0.00035871924206217447), 'classifier__kernel': 'rbf', 'feature_selection__n_components': np.float64(0.5539394153001572), 'oversampling__k_neighbors': 6}"
256.1368362903595,0.019196271896362305,0.5237222934603407,0.5050375526653234,0.3748080070682539,0.3333333333333333,"{'classifier__C': np.float64(0.039116250066838325), 'classifier__gamma': np.float64(0.003230428252240959), 'classifier__kernel': 'rbf', 'feature_selection__n_components': np.float64(0.5521410767863084), 'oversampling__k_neighbors': 3}"
245.78931140899658,0.02143692970275879,0.5229895585272027,0.5365451547902547,0.34094389707321265,0.4262295081967213,"{'classifier__C': np.float64(0.45027193536160615), 'classifier__gamma': np.float64(0.0008274235760837795), 'classifier__kernel': 'rbf', 'feature_selection__n_components': np.float64(0.5965651038687684), 'oversampling__k_neighbors': 4}"
225.54618573188782,0.02600884437561035,0.5196078431372548,0.5061968183499815,0.3745641957901706,0.3865546218487395,"{'classifier__C': np.float64(533.5112055356554), 'classifier__gamma': np.float64(0.5532870850012646), 'classifier__kernel': 'rbf', 'feature_selection__n_components': np.float64(0.5074645230175353), 'oversampling__k_neighbors': 5}"
235.96052932739258,0.022619247436523438,0.5183129855715871,0.5254347021827599,0.3436969881531745,0.4067796610169492,"{'classifier__C': np.float64(17.009414653862457), 'classifier__gamma': np.float64(2.8460709978861003e-05), 'classifier__kernel': 'rbf', 'feature_selection__n_components': np.float64(0.6142619362704551), 'oversampling__k_neighbors': 6}"
234.52065324783325,0.02104640007019043,0.5172031076581577,0.5027746947835738,0.3678954687331225,0.35185185185185186,"{'classifier__C': np.float64(207.74809931193525), 'classifier__gamma': np.float64(0.1280142038694337), 'classifier__kernel': 'rbf', 'feature_selection__n_components': np.float64(0.9343648882688621), 'oversampling__k_neighbors': 6}"
229.06375980377197,0.024775981903076172,0.5116537180910099,0.5083240843507214,0.3788057019583376,0.12698412698412698,"{'classifier__C': np.float64(0.039116250066838325), 'classifier__gamma': np.float64(0.003230428252240959), 'classifier__kernel': 'rbf', 'feature_selection__n_components': np.float64(0.5521410767863084), 'oversampling__k_neighbors': 3}"
236.68407082557678,0.021972179412841797,0.5107162483971424,0.4836966477376809,0.3741515595988104,0.3779527559055118,"{'classifier__C': np.float64(1.0797151434089138), 'classifier__gamma': np.float64(0.0011669012872620147), 'classifier__kernel': 'rbf', 'feature_selection__n_components': np.float64(0.6451478439073702), 'oversampling__k_neighbors': 3}"
242.81947016716003,0.024628400802612305,0.5093414724380319,0.5,0.36348786872530764,0.0,"{'classifier__C': np.float64(19.535801797945574), 'classifier__gamma': np.float64(0.7881075270302922), 'classifier__kernel': 'rbf', 'feature_selection__n_components': np.float64(0.5622588915880106), 'oversampling__k_neighbors': 7}"
231.441969871521,0.024093151092529297,0.5081516761311595,0.5400256457226598,0.38326439288903424,0.45588235294117646,"{'classifier__C': np.float64(533.5112055356554), 'classifier__gamma': np.float64(0.5532870850012646), 'classifier__kernel': 'rbf', 'feature_selection__n_components': np.float64(0.5074645230175353), 'oversampling__k_neighbors': 5}"
227.6761109828949,0.02516031265258789,0.5066862062648837,0.46263051840996516,0.3830479820841638,0.40268456375838924,"{'classifier__C': np.float64(19.535801797945574), 'classifier__gamma': np.float64(0.7881075270302922), 'classifier__kernel': 'rbf', 'feature_selection__n_components': np.float64(0.5622588915880106), 'oversampling__k_neighbors': 7}"
249.86442494392395,0.02372145652770996,0.4945960798681077,0.4847957501373878,0.35247701751525473,0.34782608695652173,"{'classifier__C': np.float64(116937.06199417307), 'classifier__gamma': np.float64(1.7140813013188114), 'classifier__kernel': 'rbf', 'feature_selection__n_components': np.float64(0.928882331160779), 'oversampling__k_neighbors': 7}"
