,mean,std
roc_auc,0.49957318608168794,0.061679098699196404
balanced_accuracy,0.4998211309217743,0.04810198205421982
average_precision,0.35990833114399157,0.04290679529513447
f1_score,0.3392760839259893,0.12993681597793963
