repeat,outer_fold,inner_best_score,inner_best_params,n_candidates
4,7,0.546231990278565,"{'clf__C': np.float64(0.5982221423148759), 'clf__gamma': np.float64(6.90331310095057e-05), 'oversampling__k_neighbors': 6, 'pca__n_components': np.float64(0.6098564850114984)}",100
4,8,0.5458038847595797,"{'clf__C': np.float64(0.03658718924831049), 'clf__gamma': np.float64(0.00029002205354440846), 'oversampling__k_neighbors': 4, 'pca__n_components': np.float64(0.6143736420813825)}",100
5,1,0.547663947044335,"{'clf__C': np.float64(1.004640967901489), 'clf__gamma': np.float64(1.8700066071826494e-05), 'oversampling__k_neighbors': 5, 'pca__n_components': np.float64(0.5571772306933481)}",100
5,2,0.5613977876727598,"{'clf__C': np.float64(1170.1396243779054), 'clf__gamma': np.float64(0.05628890347106137), 'oversampling__k_neighbors': 3, 'pca__n_components': np.float64(0.5678228947844433)}",100
5,3,0.5219590544487555,"{'clf__C': np.float64(219.35981827453548), 'clf__gamma': np.float64(0.0010134183525374644), 'oversampling__k_neighbors': 4, 'pca__n_components': np.float64(0.8871820782402539)}",100
5,4,0.5600669166049087,"{'clf__C': np.float64(98.52513510569071), 'clf__gamma': np.float64(0.10093211979091646), 'oversampling__k_neighbors': 3, 'pca__n_components': np.float64(0.5196216972894951)}",100
5,5,0.5519933641941672,"{'clf__C': np.float64(176.79772265682203), 'clf__gamma': np.float64(0.013629569922785474), 'oversampling__k_neighbors': 6, 'pca__n_components': np.float64(0.5363839968497218)}",100
5,6,0.5535741531888922,"{'clf__C': np.float64(0.03658718924831049), 'clf__gamma': np.float64(0.00029002205354440846), 'oversampling__k_neighbors': 4, 'pca__n_components': np.float64(0.6143736420813825)}",100
5,7,0.5433738665591351,"{'clf__C': np.float64(0.06062800604032432), 'clf__gamma': np.float64(0.027625562252834877), 'oversampling__k_neighbors': 6, 'pca__n_components': np.float64(0.5779408414595069)}",100
5,8,0.5523290030079776,"{'clf__C': np.float64(0.9870470007366703), 'clf__gamma': np.float64(0.007458997494127208), 'oversampling__k_neighbors': 5, 'pca__n_components': np.float64(0.5913775511306463)}",100
